"id","ville","date_mesure","Annee","MoisMesure","Temperature_maximale°","Temperature_minimale°","Vitesse_de_vent_km_h","Temperatur_de_vent°","Precipitation_mm","Humidite_en_pourcentage","Visibilite_km","Couverture_nuageuse_en_pourcentage","indice_chaleur","Point_rosee_°C","Pression_hPa","lever_soleil","coucher_soleil"
"1","oran","2009-01-02","2009","01","14","13","15","11","0","80","9.875","62","14","11","1022","08:12:00","18:01:00"
"2","oran","2009-01-03","2009","01","16","14","26","12","1","84","9.875","88","16","12","1019","08:13:00","18:02:00"
"3","oran","2009-01-04","2009","01","12","11","31","9","3","88","9.875","86","12","10","1017","08:13:00","18:03:00"
"4","oran","2009-01-05","2009","01","14","11","7","11","1","80","10","54","15","9","1019","08:13:00","18:03:00"
"5","oran","2009-01-06","2009","01","13","12","27","10","1","77","10","49","13","8","1015","08:13:00","18:04:00"
"6","oran","2009-01-07","2009","01","12","10","13","9","1","79","10","55","12","8","1013","08:13:00","18:05:00"
"7","oran","2009-01-08","2009","01","13","9","13","7","0","74","10","31","13","7","1015","08:13:00","18:06:00"
"8","oran","2009-01-09","2009","01","12","10","18","7","0","69","10","22","12","5","1020","08:13:00","18:07:00"
"9","oran","2009-01-10","2009","01","12","8","9","7","2","74","9.875","39","12","6","1021","08:13:00","18:08:00"
"10","oran","2009-01-11","2009","01","14","10","25","8","1","74","9.375","42","14","7","1024","08:12:00","18:09:00"
"11","oran","2009-01-12","2009","01","12","11","22","8","1","86","10","71","12","9","1025","08:12:00","18:10:00"
"12","oran","2009-01-13","2009","01","13","9","27","7","1","87","9","50","13","8","1024","08:12:00","18:11:00"
"13","oran","2009-01-14","2009","01","12","11","16","9","5","86","9.625","59","13","10","1021","08:12:00","18:11:00"
"14","oran","2009-01-15","2009","01","15","9","13","8","0","76","10","11","17","8","1021","08:12:00","18:12:00"
"15","oran","2009-01-16","2009","01","14","11","13","11","1","69","9.375","58","14","8","1019","08:11:00","18:13:00"
"16","oran","2009-01-17","2009","01","15","11","21","11","0","69","10","17","15","9","1022","08:11:00","18:14:00"
"17","oran","2009-01-18","2009","01","14","11","20","12","1","89","8.875","45","14","10","1025","08:11:00","18:15:00"
"18","oran","2009-01-19","2009","01","16","11","29","9","0","67","10","33","16","10","1025","08:10:00","18:16:00"
"19","oran","2009-01-20","2009","01","14","11","36","8","1","79","9","69","14","9","1011","08:10:00","18:17:00"
"20","oran","2009-01-21","2009","01","10","8","24","5","0","78","9.75","22","10","4","1019","08:09:00","18:18:00"
"21","oran","2009-01-22","2009","01","13","11","39","8","1","80","9","45","13","8","1021","08:09:00","18:19:00"
"22","oran","2009-01-23","2009","01","16","14","45","12","0","82","10","60","16","13","1017","08:08:00","18:20:00"
"23","oran","2009-01-24","2009","01","16","15","54","15","1","80","9.375","36","16","12","1015","08:08:00","18:22:00"
"24","oran","2009-01-25","2009","01","15","14","32","11","3","72","9.625","68","15","10","1014","08:07:00","18:23:00"
"25","oran","2009-01-26","2009","01","11","10","40","6","2","78","9.625","24","12","7","1016","08:07:00","18:24:00"
"26","oran","2009-01-27","2009","01","12","10","42","9","0","73","10","14","12","9","1021","08:06:00","18:25:00"
"27","oran","2009-01-28","2009","01","15","12","31","9","0","82","10","28","15","10","1022","08:05:00","18:26:00"
"28","oran","2009-01-29","2009","01","16","14","27","12","0","76","10","16","16","11","1020","08:05:00","18:27:00"
"29","oran","2009-01-30","2009","01","20","13","12","14","0","66","10","1","25","11","1019","08:04:00","18:28:00"
"30","oran","2009-01-31","2009","01","14","11","41","8","1","73","9.875","29","14","8","1012","08:03:00","18:29:00"
"31","oran","2009-02-01","2009","02","13","11","15","9","1","67","9.875","56","13","7","1011","08:03:00","18:30:00"
"32","oran","2009-02-02","2009","02","19","14","34","13","0","53","10","22","19","7","997","08:02:00","18:31:00"
"33","oran","2009-02-03","2009","02","13","12","42","9","2","76","10","65","13","8","1009","08:01:00","18:32:00"
"34","oran","2009-02-04","2009","02","19","14","21","13","2","76","9.875","33","19","10","1008","08:00:00","18:33:00"
"35","oran","2009-02-05","2009","02","17","13","26","11","0","66","10","18","17","7","1006","07:59:00","18:34:00"
"36","oran","2009-02-06","2009","02","12","11","39","8","1","78","9.375","50","12","8","1004","07:58:00","18:35:00"
"37","oran","2009-02-07","2009","02","11","9","43","5","4","81","9.5","39","11","7","1009","07:58:00","18:36:00"
"38","oran","2009-02-08","2009","02","13","11","42","7","0","68","10","16","13","9","1021","07:57:00","18:37:00"
"39","oran","2009-02-09","2009","02","17","13","23","11","0","75","10","35","18","10","1024","07:56:00","18:38:00"
"40","oran","2009-02-10","2009","02","17","15","30","13","0","71","10","45","17","11","1024","07:55:00","18:39:00"
"41","oran","2009-02-11","2009","02","16","14","11","17","0","73","10","24","18","13","1026","07:54:00","18:40:00"
"42","oran","2009-02-12","2009","02","17","14","12","18","0","67","10","1","19","11","1022","07:53:00","18:41:00"
"43","oran","2009-02-13","2009","02","17","13","16","17","0","57","10","1","17","9","1020","07:52:00","18:42:00"
"44","oran","2009-02-14","2009","02","18","13","18","14","0","66","10","16","18","9","1019","07:51:00","18:43:00"
"45","oran","2009-02-15","2009","02","16","12","30","10","0","59","10","33","16","6","1018","07:50:00","18:44:00"
"46","oran","2009-02-16","2009","02","15","12","23","10","0","66","10","19","15","7","1020","07:49:00","18:45:00"
"47","oran","2009-02-17","2009","02","14","10","23","9","0","76","10","13","14","7","1023","07:47:00","18:46:00"
"48","oran","2009-02-18","2009","02","16","11","10","12","0","58","10","4","17","7","1024","07:46:00","18:47:00"
"49","oran","2009-02-19","2009","02","18","13","13","13","0","56","10","2","21","10","1021","07:45:00","18:48:00"
"50","oran","2009-02-20","2009","02","17","13","19","13","0","68","10","18","17","8","1024","07:44:00","18:49:00"
"51","oran","2009-02-21","2009","02","15","11","17","10","0","71","10","13","15","6","1027","07:43:00","18:50:00"
"52","oran","2009-02-22","2009","02","15","11","12","14","0","60","10","2","17","8","1030","07:42:00","18:51:00"
"53","oran","2009-02-23","2009","02","18","12","11","15","0","49","10","0","19","7","1026","07:40:00","18:52:00"
"54","oran","2009-02-24","2009","02","18","13","12","16","0","48","10","2","20","8","1018","07:39:00","18:53:00"
"55","oran","2009-02-25","2009","02","18","14","26","16","0","59","10","1","18","9","1026","07:38:00","18:54:00"
"56","oran","2009-02-26","2009","02","20","12","22","12","0","54","10","1","20","6","1027","07:37:00","18:55:00"
"57","oran","2009-02-27","2009","02","18","14","10","13","0","50","10","23","19","6","1022","07:35:00","18:56:00"
"58","oran","2009-02-28","2009","02","20","16","21","16","1","51","10","27","20","9","1015","07:34:00","18:57:00"
"59","oran","2009-03-01","2009","03","19","16","23","16","1","66","9.375","31","19","10","1018","07:33:00","18:58:00"
"60","oran","2009-03-02","2009","03","19","15","23","15","0","66","10","39","19","10","1019","07:31:00","18:59:00"
"61","oran","2009-03-03","2009","03","18","12","39","8","1","82","9.875","31","18","9","1014","07:30:00","19:00:00"
"62","oran","2009-03-04","2009","03","14","12","51","9","2","77","10","76","14","11","1011","07:29:00","19:00:00"
"63","oran","2009-03-05","2009","03","14","12","58","9","3","87","9.5","67","14","10","1008","07:27:00","19:01:00"
"64","oran","2009-03-06","2009","03","15","12","41","9","2","66","10","35","15","12","1013","07:26:00","19:02:00"
"65","oran","2009-03-07","2009","03","17","15","24","13","2","84","9","34","17","12","1018","07:25:00","19:03:00"
"66","oran","2009-03-08","2009","03","22","16","17","18","0","59","10","1","25","12","1019","07:23:00","19:04:00"
"67","oran","2009-03-09","2009","03","19","16","15","17","0","68","10","26","19","11","1020","07:22:00","19:05:00"
"68","oran","2009-03-10","2009","03","17","15","8","15","1","77","9.875","26","17","12","1024","07:21:00","19:06:00"
"69","oran","2009-03-11","2009","03","21","16","18","18","0","68","10","4","24","11","1023","07:19:00","19:07:00"
"70","oran","2009-03-12","2009","03","19","16","23","16","0","55","10","24","19","8","1024","07:18:00","19:08:00"
"71","oran","2009-03-13","2009","03","22","16","21","17","0","59","10","5","24","11","1024","07:16:00","19:08:00"
"72","oran","2009-03-14","2009","03","25","20","13","20","0","51","10","16","26","12","1021","07:15:00","19:09:00"
"73","oran","2009-03-15","2009","03","23","20","22","20","0","56","10","14","25","11","1020","07:13:00","19:10:00"
"74","oran","2009-03-16","2009","03","21","17","26","18","0","50","10","4","21","10","1022","07:12:00","19:11:00"
"75","oran","2009-03-17","2009","03","16","14","23","13","0","66","10","23","16","10","1025","07:11:00","19:12:00"
"76","oran","2009-03-18","2009","03","19","14","23","16","0","63","10","3","19","10","1026","07:09:00","19:13:00"
"77","oran","2009-03-19","2009","03","23","16","17","19","0","50","10","1","26","11","1020","07:08:00","19:14:00"
"78","oran","2009-03-20","2009","03","21","18","15","21","0","59","10","4","24","13","1017","07:06:00","19:14:00"
"79","oran","2009-03-21","2009","03","20","17","20","19","0","64","10","0","20","12","1019","07:05:00","19:15:00"
"80","oran","2009-03-22","2009","03","19","15","30","14","0","48","10","5","19","7","1024","07:03:00","19:16:00"
"81","oran","2009-03-23","2009","03","20","15","25","14","0","35","10","4","20","4","1024","07:02:00","19:17:00"
"82","oran","2009-03-24","2009","03","23","18","15","20","0","44","10","21","24","8","1018","07:01:00","19:18:00"
"83","oran","2009-03-25","2009","03","23","18","21","18","0","41","10","13","24","8","1015","06:59:00","19:19:00"
"84","oran","2009-03-26","2009","03","24","20","26","20","0","45","10","3","25","9","1015","06:58:00","19:20:00"
"85","oran","2009-03-27","2009","03","25","20","9","21","1","68","10","18","26","15","1013","06:56:00","19:20:00"
"86","oran","2009-03-28","2009","03","21","19","18","19","1","67","9.375","32","21","14","1006","06:55:00","19:21:00"
"87","oran","2009-03-29","2009","03","18","15","28","15","2","60","9.75","49","18","10","1009","06:53:00","19:22:00"
"88","oran","2009-03-30","2009","03","16","13","32","11","0","48","10","20","16","7","1012","06:52:00","19:23:00"
"89","oran","2009-03-31","2009","03","14","12","23","10","2","68","9.75","39","14","8","1015","06:50:00","19:24:00"
"90","oran","2009-04-01","2009","04","18","15","28","14","1","60","9.875","15","18","7","1016","06:49:00","19:25:00"
"91","oran","2009-04-02","2009","04","17","15","30","15","1","61","10","16","17","8","1017","06:48:00","19:25:00"
"92","oran","2009-04-03","2009","04","17","15","21","15","0","68","10","40","18","10","1022","06:46:00","19:26:00"
"93","oran","2009-04-04","2009","04","20","16","16","16","0","68","10","14","20","12","1023","06:45:00","19:27:00"
"94","oran","2009-04-05","2009","04","23","19","12","20","0","50","10","11","24","11","1024","06:43:00","19:28:00"
"95","oran","2009-04-06","2009","04","26","19","11","19","0","48","10","36","26","11","1019","06:42:00","19:29:00"
"96","oran","2009-04-07","2009","04","19","17","37","17","1","68","10","21","19","11","1016","06:40:00","19:30:00"
"97","oran","2009-04-08","2009","04","19","16","21","16","1","57","9.875","9","19","9","1018","06:39:00","19:30:00"
"98","oran","2009-04-09","2009","04","21","17","23","17","0","44","10","3","21","8","1019","06:38:00","19:31:00"
"99","oran","2009-04-10","2009","04","19","17","23","18","0","57","10","13","20","11","1010","06:36:00","19:32:00"
"100","oran","2009-04-11","2009","04","15","12","39","10","2","71","10","27","15","8","1012","06:35:00","19:33:00"
"101","oran","2009-04-12","2009","04","17","15","30","15","1","67","9.75","29","17","10","1014","06:34:00","19:34:00"
"102","oran","2009-04-13","2009","04","19","16","22","16","1","53","9.875","17","19","9","1016","06:32:00","19:34:00"
"103","oran","2009-04-14","2009","04","22","19","19","20","0","48","10","2","24","11","1014","06:31:00","19:35:00"
"104","oran","2009-04-15","2009","04","20","17","21","17","0","60","10","32","20","11","1014","06:30:00","19:36:00"
"105","oran","2009-04-16","2009","04","18","17","21","17","1","59","10","36","18","10","1017","06:28:00","19:37:00"
"106","oran","2009-04-17","2009","04","18","16","27","16","1","61","10","28","18","10","1018","06:27:00","19:38:00"
"107","oran","2009-04-18","2009","04","16","13","21","12","2","83","9.25","61","16","11","1017","06:26:00","19:39:00"
"108","oran","2009-04-19","2009","04","14","13","23","10","16","92","8.75","84","14","12","1023","06:24:00","19:39:00"
"109","oran","2009-04-20","2009","04","19","16","14","17","0","63","10","16","19","11","1025","06:23:00","19:40:00"
"110","oran","2009-04-21","2009","04","20","17","16","18","0","64","10","11","21","11","1022","06:22:00","19:41:00"
"111","oran","2009-04-22","2009","04","22","20","16","21","0","51","10","13","24","12","1022","06:21:00","19:42:00"
"112","oran","2009-04-23","2009","04","23","20","17","23","0","51","10","2","26","12","1021","06:19:00","19:43:00"
"113","oran","2009-04-24","2009","04","29","23","14","24","0","38","10","3","30","16","1017","06:18:00","19:44:00"
"114","oran","2009-04-25","2009","04","23","21","28","21","1","53","9.875","23","25","14","1011","06:17:00","19:44:00"
"115","oran","2009-04-26","2009","04","20","16","34","16","1","54","10","31","20","10","1014","06:16:00","19:45:00"
"116","oran","2009-04-27","2009","04","18","15","22","15","0","68","10","24","18","9","1017","06:15:00","19:46:00"
"117","oran","2009-04-28","2009","04","20","17","30","17","0","54","10","0","20","10","1017","06:14:00","19:47:00"
"118","oran","2009-04-29","2009","04","20","18","22","18","0","64","10","8","20","11","1020","06:13:00","19:48:00"
"119","oran","2009-04-30","2009","04","22","20","26","20","0","53","10","7","24","10","1020","06:11:00","19:49:00"
"120","oran","2009-05-01","2009","05","19","17","19","17","0","71","10","41","19","12","1022","06:10:00","19:49:00"
"121","oran","2009-05-02","2009","05","20","17","31","17","0","60","10","17","21","11","1024","06:09:00","19:50:00"
"122","oran","2009-05-03","2009","05","24","20","27","20","0","49","10","0","25","10","1024","06:08:00","19:51:00"
"123","oran","2009-05-04","2009","05","25","22","27","24","0","41","10","2","25","10","1020","06:07:00","19:52:00"
"124","oran","2009-05-05","2009","05","24","20","22","21","0","55","10","5","26","16","1023","06:06:00","19:53:00"
"125","oran","2009-05-06","2009","05","23","20","22","20","0","45","10","1","24","12","1023","06:05:00","19:54:00"
"126","oran","2009-05-07","2009","05","25","22","17","25","0","46","10","0","27","14","1022","06:04:00","19:54:00"
"127","oran","2009-05-08","2009","05","29","26","15","27","1","38","10","22","29","16","1018","06:03:00","19:55:00"
"128","oran","2009-05-09","2009","05","25","24","25","24","1","47","9.875","40","27","15","1017","06:02:00","19:56:00"
"129","oran","2009-05-10","2009","05","32","27","16","28","0","31","10","6","31","14","1016","06:02:00","19:57:00"
"130","oran","2009-05-11","2009","05","30","27","22","27","0","40","10","24","29","14","1013","06:01:00","19:58:00"
"131","oran","2009-05-12","2009","05","25","21","21","22","0","60","10","22","26","15","1013","06:00:00","19:58:00"
"132","oran","2009-05-13","2009","05","21","19","24","19","1","60","9.875","15","21","13","1014","05:59:00","19:59:00"
"133","oran","2009-05-14","2009","05","21","19","37","19","0","63","10","16","21","12","1015","05:58:00","20:00:00"
"134","oran","2009-05-15","2009","05","22","20","19","20","0","59","10","21","24","12","1017","05:58:00","20:01:00"
"135","oran","2009-05-16","2009","05","28","23","21","26","0","36","10","1","28","11","1017","05:57:00","20:02:00"
"136","oran","2009-05-17","2009","05","27","24","15","24","0","38","10","38","27","12","1017","05:56:00","20:02:00"
"137","oran","2009-05-18","2009","05","28","25","19","26","0","37","10","22","28","11","1017","05:55:00","20:03:00"
"138","oran","2009-05-19","2009","05","28","23","25","23","0","47","10","44","28","13","1018","05:55:00","20:04:00"
"139","oran","2009-05-20","2009","05","37","32","19","33","0","27","10","27","38","13","1016","05:54:00","20:05:00"
"140","oran","2009-05-21","2009","05","32","29","19","29","0","40","10","20","31","16","1013","05:53:00","20:05:00"
"141","oran","2009-05-22","2009","05","31","25","20","25","0","49","10","30","31","17","1013","05:53:00","20:06:00"
"142","oran","2009-05-23","2009","05","23","20","26","21","1","56","10","7","25","15","1015","05:52:00","20:07:00"
"143","oran","2009-05-24","2009","05","23","21","19","21","0","54","10","8","25","12","1017","05:52:00","20:08:00"
"144","oran","2009-05-25","2009","05","24","21","16","22","0","55","10","5","25","13","1017","05:51:00","20:08:00"
"145","oran","2009-05-26","2009","05","25","23","17","24","0","48","10","6","26","15","1018","05:51:00","20:09:00"
"146","oran","2009-05-27","2009","05","25","22","33","22","0","56","10","2","26","16","1020","05:50:00","20:10:00"
"147","oran","2009-05-28","2009","05","26","22","31","22","0","58","10","9","26","14","1020","05:50:00","20:10:00"
"148","oran","2009-05-29","2009","05","28","24","28","24","1","50","10","11","28","14","1018","05:49:00","20:11:00"
"149","oran","2009-05-30","2009","05","29","23","15","23","4","67","9.625","40","29","18","1014","05:49:00","20:12:00"
"150","oran","2009-05-31","2009","05","27","24","13","25","0","60","10","12","28","19","1015","05:48:00","20:12:00"
"151","oran","2009-06-01","2009","06","30","27","13","28","0","44","10","3","32","17","1016","05:48:00","20:13:00"
"152","oran","2009-06-02","2009","06","30","28","17","29","0","40","10","1","32","17","1015","05:48:00","20:14:00"
"153","oran","2009-06-03","2009","06","29","26","16","27","0","50","10","6","29","18","1016","05:48:00","20:14:00"
"154","oran","2009-06-04","2009","06","28","26","21","26","0","44","10","3","28","18","1015","05:47:00","20:15:00"
"155","oran","2009-06-05","2009","06","24","22","32","22","0","54","10","3","25","13","1011","05:47:00","20:15:00"
"156","oran","2009-06-06","2009","06","24","22","25","22","0","60","10","6","25","14","1012","05:47:00","20:16:00"
"157","oran","2009-06-07","2009","06","24","21","19","22","0","56","10","1","25","14","1015","05:47:00","20:16:00"
"158","oran","2009-06-08","2009","06","25","22","25","22","0","51","10","7","25","13","1015","05:47:00","20:17:00"
"159","oran","2009-06-09","2009","06","25","23","22","23","0","54","10","11","26","16","1019","05:46:00","20:17:00"
"160","oran","2009-06-10","2009","06","29","25","19","28","0","45","10","2","29","16","1020","05:46:00","20:18:00"
"161","oran","2009-06-11","2009","06","33","28","21","29","0","44","10","4","34","17","1020","05:46:00","20:18:00"
"162","oran","2009-06-12","2009","06","33","30","21","30","0","40","10","13","34","17","1019","05:46:00","20:19:00"
"163","oran","2009-06-13","2009","06","33","29","17","29","0","47","10","18","34","18","1018","05:46:00","20:19:00"
"164","oran","2009-06-14","2009","06","37","35","15","35","0","28","10","20","37","16","1016","05:46:00","20:19:00"
"165","oran","2009-06-15","2009","06","35","31","21","31","0","39","10","13","36","17","1017","05:46:00","20:20:00"
"166","oran","2009-06-16","2009","06","33","29","24","29","0","44","10","34","33","17","1016","05:46:00","20:20:00"
"167","oran","2009-06-17","2009","06","31","29","23","29","0","47","10","25","32","19","1018","05:47:00","20:21:00"
"168","oran","2009-06-18","2009","06","32","28","15","28","0","53","10","30","33","19","1019","05:47:00","20:21:00"
"169","oran","2009-06-19","2009","06","33","29","16","29","0","51","10","16","34","18","1019","05:47:00","20:21:00"
"170","oran","2009-06-20","2009","06","33","30","12","31","0","39","10","4","34","17","1018","05:47:00","20:21:00"
"171","oran","2009-06-21","2009","06","31","28","18","29","2","50","9.875","8","32","19","1018","05:47:00","20:22:00"
"172","oran","2009-06-22","2009","06","31","28","16","29","0","49","10","8","31","18","1019","05:47:00","20:22:00"
"173","oran","2009-06-23","2009","06","33","29","14","30","0","42","10","6","34","17","1017","05:48:00","20:22:00"
"174","oran","2009-06-24","2009","06","32","29","19","30","0","42","10","6","32","17","1014","05:48:00","20:22:00"
"175","oran","2009-06-25","2009","06","29","27","23","27","0","48","10","8","30","15","1014","05:48:00","20:22:00"
"176","oran","2009-06-26","2009","06","29","25","24","25","0","52","10","16","28","14","1015","05:49:00","20:22:00"
"177","oran","2009-06-27","2009","06","30","27","19","27","0","43","10","6","30","14","1015","05:49:00","20:22:00"
"178","oran","2009-06-28","2009","06","31","28","18","29","0","41","10","4","32","16","1015","05:49:00","20:22:00"
"179","oran","2009-06-29","2009","06","31","28","19","29","0","41","10","5","30","15","1017","05:50:00","20:22:00"
"180","oran","2009-06-30","2009","06","31","28","17","30","0","43","10","1","32","20","1018","05:50:00","20:22:00"
"181","oran","2009-07-01","2009","07","32","29","15","32","0","45","10","1","34","20","1019","05:50:00","20:22:00"
"182","oran","2009-07-02","2009","07","35","32","18","34","0","34","10","1","38","18","1018","05:51:00","20:22:00"
"183","oran","2009-07-03","2009","07","35","33","15","33","1","36","10","21","37","18","1016","05:51:00","20:22:00"
"184","oran","2009-07-04","2009","07","35","32","19","34","0","36","10","3","35","21","1014","05:52:00","20:22:00"
"185","oran","2009-07-05","2009","07","35","32","16","32","0","33","10","5","35","14","1013","05:52:00","20:22:00"
"186","oran","2009-07-06","2009","07","33","30","21","30","0","41","10","4","33","15","1013","05:53:00","20:21:00"
"187","oran","2009-07-07","2009","07","31","29","16","29","0","41","10","9","31","15","1013","05:53:00","20:21:00"
"188","oran","2009-07-08","2009","07","32","29","19","31","0","40","10","9","32","17","1015","05:54:00","20:21:00"
"189","oran","2009-07-09","2009","07","31","28","15","30","0","45","10","3","32","20","1017","05:55:00","20:21:00"
"190","oran","2009-07-10","2009","07","31","29","18","31","0","46","10","1","34","22","1018","05:55:00","20:20:00"
"191","oran","2009-07-11","2009","07","33","28","14","28","1","50","10","7","35","22","1018","05:56:00","20:20:00"
"192","oran","2009-07-12","2009","07","36","32","24","32","0","42","10","3","39","21","1016","05:56:00","20:20:00"
"193","oran","2009-07-13","2009","07","35","32","19","32","0","53","10","8","39","22","1013","05:57:00","20:19:00"
"194","oran","2009-07-14","2009","07","31","29","27","29","0","46","10","12","31","19","1014","05:58:00","20:19:00"
"195","oran","2009-07-15","2009","07","33","31","20","32","0","36","10","4","35","19","1017","05:58:00","20:18:00"
"196","oran","2009-07-16","2009","07","34","30","17","33","0","45","10","1","36","21","1019","05:59:00","20:18:00"
"197","oran","2009-07-17","2009","07","33","31","25","31","0","31","10","2","32","14","1020","05:59:00","20:17:00"
"198","oran","2009-07-18","2009","07","31","28","26","28","0","54","10","0","32","19","1020","06:00:00","20:17:00"
"199","oran","2009-07-19","2009","07","32","28","27","28","0","51","10","0","33","18","1020","06:01:00","20:16:00"
"200","oran","2009-07-20","2009","07","35","31","23","32","0","44","10","15","36","20","1020","06:02:00","20:16:00"
"201","oran","2009-07-21","2009","07","40","36","12","37","0","29","10","12","43","20","1018","06:02:00","20:15:00"
"202","oran","2009-07-22","2009","07","41","37","12","38","0","23","10","31","42","15","1015","06:03:00","20:14:00"
"203","oran","2009-07-23","2009","07","36","32","17","32","0","36","10","4","37","16","1016","06:04:00","20:14:00"
"204","oran","2009-07-24","2009","07","37","34","18","34","0","34","10","7","38","18","1018","06:04:00","20:13:00"
"205","oran","2009-07-25","2009","07","38","36","23","36","0","32","10","26","38","20","1020","06:05:00","20:12:00"
"206","oran","2009-07-26","2009","07","37","33","22","34","0","42","10","10","39","21","1020","06:06:00","20:12:00"
"207","oran","2009-07-27","2009","07","38","36","18","37","0","30","10","18","39","19","1016","06:07:00","20:11:00"
"208","oran","2009-07-28","2009","07","35","32","21","33","0","43","10","31","39","21","1018","06:07:00","20:10:00"
"209","oran","2009-07-29","2009","07","37","33","15","34","0","42","10","15","39","20","1019","06:08:00","20:09:00"
"210","oran","2009-07-30","2009","07","36","33","17","36","0","36","10","0","39","20","1020","06:09:00","20:08:00"
"211","oran","2009-07-31","2009","07","33","30","17","33","0","45","10","0","36","22","1020","06:10:00","20:08:00"
"212","oran","2009-08-01","2009","08","35","31","18","34","0","30","10","0","34","20","1018","06:10:00","20:07:00"
"213","oran","2009-08-02","2009","08","34","31","19","32","0","37","10","1","34","18","1015","06:11:00","20:06:00"
"214","oran","2009-08-03","2009","08","34","30","21","32","0","39","10","2","40","19","1015","06:12:00","20:05:00"
"215","oran","2009-08-04","2009","08","34","29","23","31","0","51","10","6","35","20","1016","06:13:00","20:04:00"
"216","oran","2009-08-05","2009","08","37","32","19","33","0","40","10","15","38","20","1016","06:13:00","20:03:00"
"217","oran","2009-08-06","2009","08","35","33","17","35","0","40","10","6","39","21","1016","06:14:00","20:02:00"
"218","oran","2009-08-07","2009","08","34","31","19","31","0","43","10","1","37","20","1016","06:15:00","20:01:00"
"219","oran","2009-08-08","2009","08","33","30","18","31","0","40","10","13","34","18","1016","06:16:00","20:00:00"
"220","oran","2009-08-09","2009","08","30","26","19","27","0","56","10","39","31","20","1014","06:17:00","19:59:00"
"221","oran","2009-08-10","2009","08","33","27","30","27","0","73","9.625","52","36","23","1013","06:17:00","19:58:00"
"222","oran","2009-08-11","2009","08","34","29","34","29","1","49","9.875","48","36","23","1014","06:18:00","19:57:00"
"223","oran","2009-08-12","2009","08","31","28","21","28","1","67","10","41","36","22","1016","06:19:00","19:56:00"
"224","oran","2009-08-13","2009","08","31","28","24","28","0","62","10","10","33","22","1016","06:20:00","19:54:00"
"225","oran","2009-08-14","2009","08","32","29","24","29","0","56","10","6","34","21","1014","06:20:00","19:53:00"
"226","oran","2009-08-15","2009","08","31","28","24","29","0","62","10","3","35","23","1015","06:21:00","19:52:00"
"227","oran","2009-08-16","2009","08","32","28","24","29","0","65","10","12","35","23","1017","06:22:00","19:51:00"
"228","oran","2009-08-17","2009","08","33","29","21","29","0","58","10","10","35","23","1017","06:23:00","19:50:00"
"229","oran","2009-08-18","2009","08","35","29","23","29","0","54","9.875","28","38","21","1017","06:24:00","19:49:00"
"230","oran","2009-08-19","2009","08","35","31","22","32","0","53","10","5","39","23","1018","06:24:00","19:47:00"
"231","oran","2009-08-20","2009","08","33","29","18","32","0","57","10","0","38","24","1019","06:25:00","19:46:00"
"232","oran","2009-08-21","2009","08","33","29","24","32","0","56","10","0","36","24","1019","06:26:00","19:45:00"
"233","oran","2009-08-22","2009","08","34","30","23","32","0","48","10","0","36","22","1018","06:27:00","19:44:00"
"234","oran","2009-08-23","2009","08","34","30","21","32","0","47","10","0","36","22","1016","06:27:00","19:42:00"
"235","oran","2009-08-24","2009","08","36","33","21","34","0","42","10","2","38","22","1011","06:28:00","19:41:00"
"236","oran","2009-08-25","2009","08","31","29","22","29","0","48","10","6","32","19","1013","06:29:00","19:40:00"
"237","oran","2009-08-26","2009","08","32","29","19","30","0","51","10","4","33","20","1016","06:30:00","19:38:00"
"238","oran","2009-08-27","2009","08","33","29","22","30","0","48","10","13","34","21","1016","06:31:00","19:37:00"
"239","oran","2009-08-28","2009","08","34","29","24","31","0","51","10","1","35","23","1016","06:31:00","19:36:00"
"240","oran","2009-08-29","2009","08","33","29","25","29","0","42","10","3","33","17","1017","06:32:00","19:34:00"
"241","oran","2009-08-30","2009","08","34","30","24","33","0","41","10","0","35","19","1016","06:33:00","19:33:00"
"242","oran","2009-08-31","2009","08","36","32","23","34","0","39","10","1","37","19","1015","06:34:00","19:32:00"
"243","oran","2009-09-01","2009","09","34","31","21","33","0","46","10","2","36","23","1016","06:34:00","19:30:00"
"244","oran","2009-09-02","2009","09","32","30","19","31","0","55","10","16","35","23","1017","06:35:00","19:29:00"
"245","oran","2009-09-03","2009","09","33","29","19","30","0","48","10","2","33","21","1016","06:36:00","19:27:00"
"246","oran","2009-09-04","2009","09","34","30","16","33","0","40","10","1","36","20","1015","06:37:00","19:26:00"
"247","oran","2009-09-05","2009","09","34","30","23","33","0","40","10","1","35","22","1016","06:37:00","19:24:00"
"248","oran","2009-09-06","2009","09","32","28","27","28","1","65","10","12","34","22","1017","06:38:00","19:23:00"
"249","oran","2009-09-07","2009","09","32","28","30","28","0","56","10","10","34","19","1016","06:39:00","19:22:00"
"250","oran","2009-09-08","2009","09","30","27","26","27","0","53","10","4","31","18","1016","06:40:00","19:20:00"
"251","oran","2009-09-09","2009","09","29","26","25","26","0","58","10","5","29","18","1019","06:40:00","19:19:00"
"252","oran","2009-09-10","2009","09","28","25","21","25","0","51","10","20","28","16","1020","06:41:00","19:17:00"
"253","oran","2009-09-11","2009","09","30","27","30","28","2","44","9.875","28","29","17","1018","06:42:00","19:16:00"
"254","oran","2009-09-12","2009","09","29","25","21","26","0","55","10","16","29","18","1016","06:43:00","19:14:00"
